UI/UX,Programming,Operational,Data Science,Cybersecurity,Quality Assurance,Computer Network,Label
0.89,0.97,0.64,0.87,0.79,0.98,0.92,Quality Assurance
0.97,0.74,0.83,0.85,0.61,0.87,0.67,UI/UX
0.7,0.87,0.72,0.81,0.82,0.67,0.99,Computer Network
0.84,0.93,0.95,0.69,0.68,0.84,0.76,Operational
0.68,0.66,0.93,0.66,0.99,0.68,0.71,Cybersecurity
0.65,0.99,0.76,0.82,1.0,0.78,0.71,Cybersecurity
0.75,0.8,0.62,0.7,1.0,0.65,0.89,Cybersecurity
0.97,0.81,0.76,0.82,0.76,0.89,0.81,UI/UX
0.85,0.98,0.96,0.71,0.66,0.85,0.8,Programming
0.73,0.94,0.82,0.86,0.78,0.61,0.78,Programming
0.95,0.81,0.84,0.76,0.62,0.73,0.92,UI/UX
0.57,0.95,0.91,0.64,1.0,0.87,0.61,Cybersecurity
1.0,0.85,0.61,0.93,0.91,0.92,0.74,UI/UX
0.63,0.79,0.75,0.7,0.81,0.93,0.72,Quality Assurance
0.94,0.64,0.71,0.82,0.71,0.63,0.9,UI/UX
0.73,0.86,0.81,0.99,0.71,0.86,0.89,Data Science
0.66,0.71,0.95,0.72,0.81,0.89,0.78,Operational
0.87,0.84,0.76,0.95,0.86,0.75,0.57,Data Science
0.71,0.69,0.8,0.86,0.88,0.86,0.88,Cybersecurity
0.62,0.91,0.96,0.59,0.79,0.76,0.81,Operational
0.75,0.86,0.7,0.85,0.6,0.59,0.97,Computer Network
0.62,0.85,1.0,0.67,0.68,0.65,0.76,Operational
0.8,0.73,0.96,0.78,0.73,0.93,0.81,Operational
0.71,0.92,0.89,0.71,0.64,0.63,0.84,Programming
0.86,0.64,0.84,0.59,0.64,0.82,0.81,UI/UX
0.68,0.86,0.96,0.87,0.91,0.77,0.97,Computer Network
0.76,0.85,0.8,0.67,0.85,0.69,0.65,Programming
0.63,0.81,0.91,0.75,0.85,0.91,1.0,Computer Network
0.75,0.79,0.76,0.75,0.69,0.83,0.88,Computer Network
0.68,0.66,0.93,0.66,0.99,0.68,0.71,Cybersecurity
0.88,0.86,0.98,0.77,0.75,0.68,0.57,Operational
0.97,0.61,0.9,0.93,0.81,0.8,0.9,UI/UX
0.62,0.76,0.75,0.66,0.83,0.93,0.73,Quality Assurance
0.8,0.84,0.61,0.95,0.97,0.83,0.88,Cybersecurity
0.76,0.76,0.89,0.78,0.83,0.66,0.72,Operational
0.99,0.71,0.86,0.86,0.61,0.85,0.63,UI/UX
0.67,0.97,0.91,0.9,0.91,0.67,0.82,Programming
0.67,0.96,0.86,0.66,0.78,0.85,0.63,Programming
0.78,0.94,0.73,0.62,0.77,0.96,0.98,Computer Network
0.73,0.86,0.81,0.99,0.71,0.86,0.89,Data Science
0.85,0.68,0.81,0.68,0.97,0.75,0.91,Cybersecurity
1.0,0.72,0.75,0.93,0.76,0.63,0.75,UI/UX
0.81,0.86,0.69,0.98,1.0,0.65,0.99,Cybersecurity
0.74,0.91,0.86,0.67,0.67,0.64,0.86,Programming
0.91,0.85,0.7,0.92,0.98,0.91,0.97,Cybersecurity
0.77,0.7,0.89,0.99,0.7,0.86,0.68,Data Science
0.95,0.93,0.93,0.88,0.87,0.72,0.92,UI/UX
0.84,0.63,0.93,0.87,0.62,0.66,0.98,Computer Network
0.95,0.9,0.88,0.82,0.86,0.98,0.67,Quality Assurance
0.88,0.96,0.91,0.72,0.76,0.88,0.75,Programming
0.74,0.97,0.69,0.75,0.77,0.78,0.85,Programming
0.89,0.79,0.95,0.96,0.77,0.71,0.84,Data Science
0.76,0.78,0.95,0.88,0.77,0.91,0.77,Operational
0.97,0.86,0.69,0.83,0.72,0.66,0.99,Computer Network
0.74,0.8,0.79,0.64,0.88,0.87,0.65,Cybersecurity
0.77,0.69,0.95,0.8,0.83,0.84,0.77,Operational
0.93,0.65,0.94,0.97,0.79,0.84,0.91,Data Science
0.76,0.9,0.81,0.77,0.98,0.89,0.8,Cybersecurity
0.65,0.99,0.76,0.82,1.0,0.78,0.71,Cybersecurity
0.9,0.59,0.9,0.68,0.61,0.74,0.67,UI/UX
0.61,0.81,0.78,0.84,0.7,0.87,0.62,Quality Assurance
0.82,0.65,0.66,0.81,0.63,0.79,0.97,Computer Network
0.92,0.67,1.0,0.74,0.67,0.61,0.69,Operational
0.96,0.79,0.76,0.8,0.73,0.94,0.77,UI/UX
0.74,0.89,0.97,0.93,0.91,0.9,0.95,Operational
0.6,0.75,0.87,0.83,0.9,0.97,0.87,Quality Assurance
0.69,0.82,0.71,0.76,0.79,0.68,1.0,Computer Network
0.62,0.88,0.99,0.7,0.66,0.65,0.72,Operational
0.89,0.7,0.88,0.95,0.67,0.72,1.0,Computer Network
0.8,0.78,0.7,0.95,0.7,0.78,0.8,Data Science
0.99,0.72,0.91,0.85,0.75,0.68,0.65,UI/UX
0.67,0.98,0.83,0.69,0.82,0.8,0.66,Programming
0.96,0.89,0.82,0.86,0.88,0.95,0.79,UI/UX
0.82,0.88,0.83,0.96,0.96,0.85,0.9,Data Science
0.85,0.79,0.75,0.95,0.81,0.79,0.61,Data Science
0.64,0.99,0.88,0.94,0.93,0.7,0.84,Programming
0.95,0.79,0.6,0.68,0.82,1.0,0.83,Quality Assurance
0.65,0.85,0.66,0.6,0.68,1.0,0.89,Quality Assurance
0.81,0.6,0.8,0.61,0.63,0.81,0.84,Computer Network
0.63,0.91,0.92,0.8,0.85,0.68,0.87,Operational
0.91,0.84,0.75,0.81,0.65,0.87,0.98,Computer Network
0.79,0.67,0.77,0.76,0.85,0.85,0.62,Cybersecurity
0.93,0.87,0.84,0.61,0.57,0.93,0.82,UI/UX
0.61,0.75,0.71,0.68,0.85,0.93,0.69,Quality Assurance
0.85,0.85,0.97,0.76,0.8,0.64,0.65,Operational
0.63,0.9,0.73,0.86,0.61,0.73,0.86,Programming
0.82,0.87,0.97,0.74,0.94,0.89,0.83,Operational
0.75,1.0,0.86,0.79,0.82,0.94,0.88,Programming
0.88,0.77,0.82,0.63,0.92,0.79,0.87,Cybersecurity
0.62,0.62,0.89,0.72,0.76,0.74,1.0,Computer Network
0.79,0.56,0.76,0.63,0.61,0.8,0.83,Computer Network
0.76,0.71,0.75,0.92,0.7,0.79,0.84,Data Science
0.91,0.69,0.85,0.95,0.66,0.92,0.84,Data Science
0.74,0.83,0.63,0.99,0.99,0.88,0.81,Data Science
0.81,0.86,0.63,0.92,0.77,0.6,0.78,Data Science
0.73,0.87,0.92,0.9,0.92,0.77,0.93,Computer Network
0.82,0.78,0.76,0.58,0.94,0.77,0.97,Computer Network
0.79,0.9,0.75,0.8,0.95,0.7,0.83,Cybersecurity
0.88,0.96,0.91,0.72,0.76,0.88,0.75,Programming
0.97,0.82,0.85,0.71,0.58,0.76,0.95,UI/UX
0.9,0.82,0.94,0.77,0.75,0.68,0.61,Operational
0.69,1.0,0.88,0.9,0.84,0.86,0.73,Programming
0.78,0.7,0.6,0.99,0.64,0.77,0.77,Data Science
0.75,0.96,0.83,0.9,0.85,0.76,0.68,Programming
0.8,0.73,0.96,0.78,0.73,0.93,0.81,Operational
0.75,0.78,0.9,0.88,0.81,0.86,0.8,Operational
0.63,0.77,1.0,0.77,0.87,0.74,0.72,Operational
0.85,0.92,0.84,0.76,0.88,0.93,0.83,Quality Assurance
0.67,0.9,0.64,0.79,0.92,0.93,0.82,Quality Assurance
0.63,0.89,0.96,0.66,0.97,0.81,0.57,Cybersecurity
0.59,0.86,0.74,0.78,0.88,0.95,0.69,Quality Assurance
0.81,0.94,0.64,0.91,0.65,0.84,0.8,Programming
0.96,0.91,0.77,0.75,0.85,0.74,0.76,UI/UX
0.77,0.73,0.88,0.89,0.72,0.74,0.67,Data Science
0.84,0.63,0.93,0.87,0.62,0.66,0.98,Computer Network
0.59,0.86,0.74,0.78,0.88,0.95,0.69,Quality Assurance
0.84,0.88,0.7,0.6,0.75,0.75,0.8,Programming
0.91,0.88,0.81,0.66,0.81,1.0,0.93,Quality Assurance
