UI/UX,Programming,Operational,Data Science,Cybersecurity,Quality Assurance,Computer Network,Project Management,Product Manager,Entrepreneur,Business/Commerce/Ideation,Label
0.8,1.0,0.9,0.8,0.7,0.7,0.6,1.0,0.8,0.9,0.6,Programming
0.7,0.8,0.8,0.7,1.0,0.6,0.9,1.0,0.8,1.0,0.6,Project Management
0.9,0.8,0.6,0.8,0.7,0.7,1.0,0.8,1.0,0.9,0.9,Computer Network
0.9,0.8,0.9,0.8,0.9,0.7,0.9,0.9,0.9,0.8,1.0,Business/Commerce/Ideation
0.8,0.8,0.8,0.9,0.8,0.7,0.6,0.7,0.9,0.6,0.8,Data Science
1.0,0.6,0.8,0.9,0.8,0.6,0.8,0.7,1.0,0.9,1.0,UI/UX
0.9,0.7,1.0,1.0,0.9,0.7,0.9,0.6,0.6,0.7,0.8,Operational
0.7,0.8,0.8,0.7,0.9,0.6,0.8,0.9,0.7,0.9,0.8,Project Management
0.7,0.7,0.9,0.8,0.7,0.6,0.9,0.6,0.9,0.8,0.6,Product Manager
0.9,0.7,0.8,1.0,0.7,0.7,0.9,0.8,0.8,1.0,0.7,Entrepreneur
0.6,0.8,0.9,0.8,0.9,1.0,0.9,0.9,1.0,0.9,0.7,Product Manager
0.7,0.7,0.8,0.9,0.6,0.9,0.6,0.9,0.8,0.8,0.9,Quality Assurance
0.9,0.6,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.8,1.0,Business/Commerce/Ideation
0.8,0.7,0.9,1.0,0.9,0.7,1.0,0.7,0.7,0.9,0.7,Data Science
0.8,0.9,0.9,1.0,0.9,0.9,0.6,0.8,0.7,0.9,0.8,Data Science
0.8,0.7,0.7,0.7,0.7,0.9,0.8,0.8,0.7,1.0,0.9,Entrepreneur
0.7,1.0,0.6,1.0,0.7,0.6,0.8,0.7,0.7,0.7,0.9,Data Science
0.7,0.6,0.8,0.8,0.7,0.8,0.9,0.6,0.9,0.8,0.8,Product Manager
1.0,0.8,0.6,1.0,0.9,0.9,0.7,0.9,0.8,0.9,0.6,Data Science
0.9,0.6,1.0,0.9,0.9,1.0,0.9,0.9,0.8,0.9,0.7,Quality Assurance
0.8,0.6,0.9,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.9,Business/Commerce/Ideation
0.7,0.9,0.7,0.8,0.8,0.7,1.0,0.9,1.0,1.0,0.8,Computer Network
1.0,0.9,0.8,0.9,0.9,0.8,0.8,0.8,0.8,1.0,0.7,Entrepreneur
0.9,0.9,0.9,0.9,0.8,0.6,1.0,0.7,0.9,0.8,0.8,Computer Network
0.9,0.8,0.9,0.9,0.6,0.7,0.9,0.6,0.8,0.9,0.8,Entrepreneur
0.6,1.0,0.9,1.0,1.0,0.7,0.7,0.9,0.8,0.6,1.0,Cybersecurity
0.8,0.8,0.9,0.9,0.9,1.0,0.6,0.7,0.6,0.9,0.9,Quality Assurance
1.0,0.7,1.0,0.8,0.9,0.8,0.9,0.8,0.9,0.7,0.6,Operational
0.8,1.0,0.9,0.9,0.7,1.0,0.8,0.7,0.6,0.8,0.8,Programming
0.6,0.8,0.8,0.8,0.9,0.9,0.7,0.8,0.6,0.7,0.7,Quality Assurance
1.0,0.9,1.0,0.7,0.9,1.0,0.7,0.6,0.9,0.9,0.9,Operational
1.0,0.7,0.9,0.9,0.7,0.7,0.9,0.7,0.7,0.8,0.9,UI/UX
0.8,0.9,0.8,0.7,0.8,1.0,0.9,0.9,0.6,0.6,0.8,Quality Assurance
0.8,0.9,1.0,0.6,0.8,0.9,0.9,0.6,0.8,0.8,0.7,Operational
0.9,0.9,0.6,0.8,0.9,0.8,0.8,0.8,0.7,0.7,0.8,Cybersecurity
0.8,0.6,0.6,0.7,1.0,0.8,1.0,0.8,0.7,0.8,0.8,Computer Network
1.0,0.8,0.8,0.8,0.9,0.8,0.7,0.9,0.9,0.6,0.7,Cybersecurity
0.9,0.9,1.0,0.9,0.9,0.7,1.0,0.7,0.8,0.8,0.8,Computer Network
0.9,0.9,0.8,0.9,0.8,0.9,0.8,0.6,0.7,0.9,0.9,UI/UX
0.9,0.6,0.7,1.0,0.7,0.7,0.9,0.9,0.8,0.7,0.7,Data Science
1.0,0.9,1.0,0.7,0.8,1.0,0.7,0.6,0.9,0.8,1.0,Operational
0.6,0.9,0.6,0.8,0.9,0.9,0.8,0.9,0.7,0.7,0.8,Quality Assurance
0.7,0.8,0.7,0.8,0.9,0.7,0.7,0.9,0.7,0.6,1.0,Business/Commerce/Ideation
0.6,0.9,0.7,0.8,0.7,0.8,0.9,0.9,0.9,0.8,0.8,Computer Network
0.8,0.7,0.6,1.0,0.6,0.7,0.8,0.7,0.6,0.9,0.7,Data Science
1.0,0.9,0.7,0.7,0.7,0.7,0.8,0.8,0.7,0.8,0.7,UI/UX
0.7,0.7,0.8,0.8,0.7,0.8,0.9,0.7,0.9,0.8,0.7,Product Manager
0.7,0.9,0.9,0.7,0.7,0.6,0.9,0.9,0.7,0.6,0.7,Programming
0.9,0.9,0.6,1.0,0.6,0.8,0.9,1.0,0.9,0.9,0.7,Data Science
1.0,0.6,0.7,0.9,0.8,1.0,0.9,0.8,0.7,0.8,0.7,UI/UX
0.8,0.6,0.6,0.6,1.0,0.9,1.0,0.8,0.7,0.8,0.8,Computer Network
0.6,0.6,0.9,0.8,0.8,0.9,0.7,0.7,0.9,0.7,0.6,Quality Assurance
0.9,0.8,1.0,1.0,0.8,0.7,0.8,1.0,0.7,0.9,0.9,Project Management
0.6,0.7,0.9,0.6,1.0,0.8,0.7,0.9,0.8,0.9,0.9,Entrepreneur
0.9,0.9,0.9,0.8,0.7,0.7,0.6,0.8,0.8,0.7,1.0,Business/Commerce/Ideation
0.7,0.8,0.7,0.8,0.8,0.7,1.0,0.9,0.9,1.0,0.8,Computer Network
0.8,0.8,0.7,0.7,0.8,0.9,0.8,0.9,0.9,0.9,0.8,Quality Assurance
0.8,0.8,0.7,1.0,0.8,0.9,1.0,0.9,0.8,1.0,0.8,Computer Network
0.9,0.8,0.8,1.0,0.8,0.6,0.7,0.9,0.7,0.9,0.9,Data Science
0.7,0.7,1.0,0.7,1.0,0.7,0.7,0.9,0.9,0.8,0.8,Cybersecurity
0.7,0.9,0.9,0.7,0.7,0.6,0.9,0.9,0.8,0.9,0.9,Entrepreneur
0.9,0.8,0.8,0.9,0.6,0.8,1.0,0.6,0.8,0.8,0.7,Computer Network
0.9,1.0,0.8,0.7,0.8,1.0,0.8,0.7,0.9,0.8,0.9,Product Manager
0.8,1.0,0.9,0.7,0.9,0.9,0.9,0.8,0.7,0.8,0.9,Programming
1.0,0.9,0.8,0.9,0.7,0.8,0.9,0.9,0.9,0.8,0.8,UI/UX
0.7,0.9,0.6,0.6,0.8,0.8,0.9,0.9,1.0,0.8,0.7,Product Manager
1.0,0.7,0.7,0.8,0.8,0.6,0.6,0.9,0.8,0.6,0.7,UI/UX
0.6,1.0,0.6,0.7,1.0,1.0,0.8,0.9,0.8,0.7,0.7,Quality Assurance
0.8,0.9,1.0,0.7,0.9,0.9,0.8,0.8,0.8,0.7,0.6,Operational
0.9,0.8,0.6,1.0,0.9,0.9,0.7,0.9,0.8,0.9,0.7,Data Science
1.0,0.7,0.7,0.9,0.8,0.8,1.0,0.8,0.7,0.8,0.7,UI/UX
0.8,0.9,0.9,0.8,0.9,0.8,0.6,0.6,0.9,0.9,0.9,Cybersecurity
0.8,0.6,1.0,0.9,1.0,1.0,0.9,1.0,0.8,0.9,0.7,Quality Assurance
0.8,0.7,0.8,0.6,0.8,0.8,0.8,0.8,0.9,0.6,0.6,Product Manager
0.8,0.9,1.0,0.7,0.7,0.8,0.8,0.9,1.0,0.7,0.7,Product Manager
0.6,0.8,0.6,0.8,1.0,0.9,0.8,0.9,0.6,0.7,0.9,Cybersecurity
0.9,0.8,1.0,0.7,0.7,0.7,1.0,1.0,0.7,0.9,0.9,Operational
0.7,0.9,0.7,0.9,0.8,0.8,0.8,0.8,0.6,0.9,0.9,Entrepreneur
0.9,0.6,1.0,0.8,0.9,0.8,0.9,0.8,0.9,0.6,0.6,Operational
0.9,0.9,0.8,0.7,1.0,0.6,0.6,1.0,0.9,0.8,1.0,Business/Commerce/Ideation
0.7,0.9,0.8,1.0,0.7,0.9,0.9,0.9,0.6,0.9,0.8,Data Science
0.7,1.0,0.8,0.7,0.8,0.8,0.7,1.0,1.0,0.8,1.0,Business/Commerce/Ideation
1.0,0.9,0.9,0.8,0.8,1.0,0.7,0.9,0.9,0.8,0.7,Quality Assurance
0.6,0.7,1.0,0.8,0.9,0.7,0.8,0.9,0.7,1.0,0.7,Project Management
1.0,0.6,0.8,0.9,0.7,0.6,0.9,0.9,0.8,0.8,0.6,UI/UX
0.8,0.9,0.9,0.9,0.9,1.0,0.7,0.8,0.6,0.8,0.6,Quality Assurance
0.8,1.0,0.6,0.8,0.7,0.7,0.9,0.8,0.8,0.7,0.8,Programming
1.0,0.7,0.6,0.9,0.8,0.8,0.9,0.8,0.7,0.8,0.7,UI/UX
1.0,0.9,0.8,0.9,0.7,0.7,1.0,0.6,0.6,0.6,0.6,Computer Network
0.7,0.9,0.8,1.0,0.7,0.8,0.9,0.8,0.7,0.9,0.8,Data Science
0.9,0.7,0.7,0.6,0.8,0.9,0.6,0.8,0.7,0.9,0.7,UI/UX
0.8,0.6,0.8,0.7,0.7,0.9,0.6,0.7,0.9,0.9,0.8,Quality Assurance
0.8,0.6,0.8,0.7,0.6,0.8,0.8,0.8,0.9,0.7,0.8,Product Manager
0.9,0.9,0.9,0.9,0.6,0.8,0.6,0.8,0.8,1.0,0.7,Entrepreneur
0.8,0.7,0.8,1.0,0.6,0.9,0.9,0.7,0.9,0.9,0.7,Data Science
0.8,0.8,0.9,1.0,0.9,0.8,0.9,0.7,0.9,0.8,0.7,Data Science
0.6,0.9,0.6,0.6,0.9,0.6,0.9,0.7,0.6,0.7,0.9,Cybersecurity
0.8,0.7,0.7,0.7,1.0,0.8,0.8,0.8,1.0,0.7,0.8,Product Manager
0.8,0.8,0.8,0.7,0.9,0.7,0.6,0.9,0.7,1.0,1.0,Business/Commerce/Ideation
0.6,0.7,0.9,0.6,0.8,0.7,0.8,0.7,0.7,0.9,0.7,Operational
0.9,0.7,0.8,1.0,0.6,0.9,0.8,0.9,0.8,0.7,1.0,Data Science
0.9,0.6,0.7,0.9,0.9,0.9,0.8,0.6,0.9,1.0,0.9,Entrepreneur
0.8,0.9,1.0,0.7,0.8,0.8,0.9,0.6,0.7,0.7,0.7,Operational
0.9,0.7,0.8,0.6,0.6,1.0,0.9,0.9,0.8,0.7,0.7,Quality Assurance
0.9,0.8,0.7,0.8,0.9,0.8,0.9,0.9,0.9,0.8,1.0,Business/Commerce/Ideation
0.9,1.0,0.7,0.8,0.8,1.0,0.9,0.9,0.8,0.8,0.7,Programming
0.7,0.7,1.0,0.7,0.8,0.9,0.8,1.0,1.0,0.7,0.8,Project Management
1.0,0.7,0.6,0.6,0.9,0.8,0.8,0.7,0.8,0.8,0.8,UI/UX
1.0,0.7,0.8,0.6,0.7,1.0,1.0,0.6,1.0,0.9,1.0,Quality Assurance
0.9,0.7,0.9,0.6,0.9,0.8,0.8,0.7,0.7,0.9,0.7,Entrepreneur
1.0,0.9,0.8,0.8,0.7,0.8,0.8,0.9,0.9,0.7,0.8,UI/UX
0.7,0.9,0.9,0.6,0.6,0.6,0.8,0.9,0.7,0.6,0.6,Programming
0.8,0.9,0.6,0.9,1.0,0.8,0.8,1.0,0.8,0.7,0.8,Cybersecurity
1.0,0.8,0.7,0.9,0.9,0.7,0.9,0.9,0.8,0.8,0.9,UI/UX
0.8,0.6,0.8,0.6,0.6,0.8,0.8,0.8,1.0,0.7,0.8,Product Manager
0.9,0.7,0.7,0.9,0.9,0.8,0.8,0.8,0.6,1.0,0.8,Cybersecurity
0.9,0.8,0.7,0.9,0.9,0.8,0.9,0.9,0.9,0.8,1.0,Business/Commerce/Ideation
0.7,0.8,0.9,0.8,0.9,0.9,0.8,0.9,0.9,0.7,0.7,Quality Assurance
0.9,0.9,0.9,0.9,0.9,1.0,0.8,0.7,0.8,0.7,0.7,Quality Assurance
1.0,0.8,0.7,0.9,0.9,0.8,0.9,0.8,0.8,0.8,0.6,UI/UX
1.0,0.8,0.6,1.0,0.9,0.9,0.6,0.9,0.8,0.8,0.6,Data Science
0.6,0.9,0.6,0.8,0.8,0.9,0.9,0.9,0.9,0.7,0.7,Computer Network
0.7,0.7,1.0,0.8,0.9,0.9,0.8,0.6,0.8,0.8,0.9,Operational
0.9,0.7,0.8,0.9,0.7,0.9,0.9,0.8,0.9,1.0,0.7,Entrepreneur
0.9,0.7,0.9,0.7,0.6,0.9,0.8,0.8,0.8,0.7,0.9,Business/Commerce/Ideation
0.8,1.0,0.8,0.8,0.9,0.7,0.6,0.6,0.9,0.8,0.9,Cybersecurity
0.9,0.8,0.7,0.9,0.9,0.9,0.9,0.8,0.8,0.7,0.6,UI/UX
0.7,1.0,0.9,0.9,0.8,0.9,0.7,1.0,0.9,0.9,0.9,Programming
0.9,0.8,0.8,0.6,0.8,0.8,0.9,0.7,0.8,1.0,0.7,Entrepreneur
0.9,0.8,0.6,0.8,1.0,0.6,0.9,0.9,0.9,0.9,0.7,Entrepreneur
0.8,0.7,0.7,0.8,0.6,0.8,1.0,0.9,0.7,0.8,0.8,Computer Network
1.0,0.9,0.9,0.9,0.7,0.9,0.8,1.0,0.9,0.9,0.7,UI/UX
0.7,0.8,0.6,0.6,0.8,0.8,0.7,0.8,0.7,0.8,0.8,Cybersecurity
0.7,0.8,0.8,0.6,0.9,0.9,0.7,1.0,0.9,0.9,0.8,Project Management
0.8,0.7,0.8,0.8,0.7,0.8,0.8,0.6,0.7,0.8,0.9,UI/UX
0.8,0.6,0.7,0.8,0.8,0.7,0.6,0.9,0.9,0.8,0.6,Product Manager
0.6,0.9,1.0,0.7,1.0,0.8,0.6,0.9,0.8,0.9,0.9,Cybersecurity
0.9,0.8,0.7,0.8,1.0,0.8,0.8,0.8,0.6,0.9,0.7,Cybersecurity
0.9,0.9,1.0,0.8,0.8,0.6,0.7,0.8,0.8,0.7,0.9,Business/Commerce/Ideation
0.7,0.8,0.9,0.6,0.8,0.8,0.7,0.9,1.0,0.9,0.8,Project Management
0.7,0.8,0.6,0.8,0.9,0.8,0.7,0.9,0.6,0.8,0.9,Project Management
0.8,0.9,0.9,0.7,0.9,0.8,0.9,1.0,0.8,1.0,0.8,Project Management
0.7,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.9,1.0,Business/Commerce/Ideation
0.8,1.0,0.6,0.6,0.9,0.7,0.9,1.0,0.9,0.6,0.8,Programming
0.9,0.6,0.8,0.9,0.7,0.8,0.9,0.9,0.9,0.9,0.9,Project Management
1.0,0.6,0.8,0.8,1.0,0.6,0.8,1.0,1.0,0.9,0.7,Cybersecurity
0.6,0.8,0.7,0.8,1.0,0.7,0.8,0.9,0.7,0.7,1.0,Business/Commerce/Ideation
0.8,1.0,0.8,1.0,0.9,0.7,1.0,0.7,0.9,0.8,1.0,Data Science
0.9,0.8,0.8,0.6,0.9,0.8,0.9,0.7,0.8,0.9,0.7,Entrepreneur
0.8,0.7,0.9,0.9,0.9,0.7,0.6,1.0,1.0,0.6,0.9,Project Management
0.7,0.7,0.8,1.0,0.9,0.8,0.6,0.9,1.0,0.7,0.8,Product Manager
0.8,0.8,0.7,0.8,0.9,0.6,0.9,0.8,0.9,1.0,0.6,Entrepreneur
0.9,0.8,0.9,0.6,0.8,0.6,0.7,0.9,1.0,0.7,0.8,Product Manager
0.8,0.9,0.6,0.8,0.7,0.7,0.9,0.8,0.8,0.8,0.8,Programming
0.7,0.6,0.8,0.7,0.9,0.7,1.0,0.7,0.9,0.9,0.9,Computer Network
0.9,0.9,0.9,0.8,0.6,0.7,0.7,0.8,0.7,1.0,0.9,Entrepreneur
0.6,0.8,0.8,0.9,0.7,0.8,0.9,0.9,0.7,0.8,0.6,Computer Network
0.8,1.0,0.8,0.7,0.8,0.9,1.0,0.6,0.9,0.7,0.8,Programming
0.8,0.7,1.0,0.8,0.8,0.7,0.6,1.0,0.8,0.9,0.8,Project Management
0.7,0.8,0.7,0.9,0.9,1.0,0.6,0.6,0.7,0.7,0.7,Quality Assurance
0.7,0.8,0.9,0.9,0.7,1.0,0.9,0.8,0.8,0.8,0.7,Quality Assurance
0.9,0.7,0.9,0.8,0.6,0.6,1.0,0.9,0.7,0.8,0.6,Computer Network
0.7,0.8,0.8,1.0,0.9,0.7,0.7,0.8,0.8,0.7,0.9,Data Science
0.8,1.0,0.9,0.8,0.8,1.0,0.9,1.0,0.9,0.8,0.9,Programming
0.6,0.8,0.9,0.9,0.6,0.9,0.7,0.6,0.8,0.6,0.8,Quality Assurance
1.0,0.8,0.7,0.7,0.9,0.9,0.8,1.0,0.6,0.7,0.9,UI/UX
0.8,0.6,0.9,0.9,0.9,1.0,0.9,0.9,0.8,0.9,0.8,Quality Assurance
0.7,0.8,0.7,0.7,1.0,0.6,0.8,0.7,0.6,0.7,0.9,Cybersecurity
0.6,0.9,0.9,0.7,0.7,1.0,1.0,0.8,0.9,0.7,1.0,Business/Commerce/Ideation
0.8,1.0,0.8,0.9,0.9,0.7,0.7,0.6,0.9,0.8,0.8,Cybersecurity
1.0,0.7,0.9,0.8,0.8,0.9,0.9,1.0,0.7,0.6,0.9,Project Management
0.7,0.7,0.8,0.8,0.8,0.6,1.0,0.7,0.7,1.0,1.0,Business/Commerce/Ideation
0.9,0.9,0.6,0.9,0.9,0.7,0.8,0.8,0.9,0.8,0.9,Data Science
0.9,0.8,0.9,0.7,0.8,0.8,0.9,0.9,0.9,1.0,0.9,Product Manager
1.0,0.7,0.7,0.8,0.7,0.6,0.9,1.0,0.7,0.8,0.8,UI/UX
1.0,0.6,0.9,0.9,0.7,0.6,0.9,0.9,0.8,0.8,0.6,UI/UX
1.0,0.8,0.7,0.9,0.8,0.6,0.7,0.9,0.9,0.6,0.7,UI/UX
0.8,0.6,0.9,0.9,0.9,1.0,0.9,0.9,0.8,0.9,0.8,Quality Assurance
0.7,0.9,0.6,0.8,0.7,0.9,0.6,1.0,1.0,1.0,0.9,Product Manager
0.8,0.9,0.8,1.0,0.7,0.8,0.8,0.9,0.6,0.9,0.8,Data Science
0.8,0.9,0.7,0.8,0.6,0.6,1.0,0.7,0.6,0.8,0.9,Computer Network
0.9,0.9,0.9,0.9,0.9,1.0,0.8,0.6,0.8,0.7,0.7,Quality Assurance
0.9,0.7,0.8,0.8,0.7,0.6,0.9,1.0,0.7,0.8,0.8,UI/UX
1.0,1.0,1.0,0.7,0.9,0.9,0.7,0.6,0.9,0.8,0.9,Operational
0.9,0.8,1.0,0.8,0.7,1.0,0.7,1.0,0.6,1.0,0.7,Entrepreneur
0.8,0.9,0.7,0.8,0.9,0.9,0.8,0.9,0.9,0.8,0.9,Product Manager
0.7,1.0,0.7,0.8,0.9,0.9,0.8,0.6,0.7,0.8,0.6,Programming
0.8,0.8,0.8,0.9,0.7,0.6,0.7,0.9,0.7,0.9,1.0,Business/Commerce/Ideation
0.7,0.9,0.9,0.8,0.8,0.8,0.7,0.8,0.9,0.8,0.7,Operational
0.9,1.0,0.6,0.9,0.8,1.0,0.9,1.0,0.8,0.8,0.7,Programming
0.8,0.8,0.6,0.6,0.8,0.8,0.8,1.0,0.8,0.7,0.8,Project Management
0.8,0.8,0.8,0.7,0.6,0.8,0.7,0.7,0.9,0.8,0.8,Product Manager
0.6,0.7,0.9,0.9,0.7,0.7,0.8,0.8,0.8,0.7,0.7,Operational
0.7,0.8,0.6,0.9,1.0,0.8,0.8,0.8,0.7,0.7,0.8,Cybersecurity
0.6,0.7,0.8,0.6,0.7,1.0,0.6,0.7,0.8,0.9,0.7,Quality Assurance
0.7,0.8,1.0,0.9,0.9,0.8,0.9,0.7,0.8,0.6,0.7,Computer Network
0.7,1.0,0.9,0.7,0.8,0.9,0.6,1.0,0.9,0.8,1.0,Business/Commerce/Ideation
0.8,0.8,0.9,0.9,0.9,0.6,0.8,0.8,0.6,0.7,0.9,Operational
0.7,0.9,0.9,0.8,0.6,1.0,0.9,0.7,0.8,1.0,0.7,Quality Assurance
1.0,0.6,0.7,0.6,0.7,0.8,0.7,0.9,0.7,0.7,0.8,UI/UX
0.9,0.6,0.9,0.7,0.6,0.7,0.7,0.7,0.9,0.6,0.9,UI/UX
0.9,0.9,0.9,0.9,0.8,0.6,1.0,0.7,0.8,0.8,0.8,Computer Network
0.6,0.7,0.7,1.0,0.9,0.7,0.6,0.7,0.7,0.9,0.9,Data Science
0.6,0.7,0.9,0.6,0.9,0.7,0.7,0.9,0.9,1.0,0.9,Entrepreneur
0.7,0.9,0.8,0.9,0.8,0.6,0.8,0.8,0.7,0.8,0.7,Programming
0.9,0.7,1.0,0.6,0.8,1.0,0.8,0.8,0.9,0.7,0.9,Operational
0.8,0.9,0.7,0.9,0.7,0.6,0.8,0.7,0.7,0.8,0.6,Programming
0.9,0.7,0.7,0.7,0.9,0.6,0.8,0.9,1.0,0.7,0.9,Product Manager
0.8,0.7,0.9,0.6,0.7,0.8,0.8,0.9,0.7,0.7,1.0,Business/Commerce/Ideation
0.8,0.9,0.9,0.8,0.7,0.8,0.8,0.8,0.6,0.8,0.9,Business/Commerce/Ideation
1.0,0.7,0.7,0.9,0.8,0.7,0.8,0.7,0.7,0.8,0.8,UI/UX
0.9,0.8,0.7,0.7,0.6,0.7,0.9,1.0,1.0,0.9,0.9,Project Management
0.7,0.8,0.7,0.8,0.8,0.7,0.8,0.8,0.8,0.7,1.0,Business/Commerce/Ideation
0.9,0.8,0.6,0.6,0.8,0.7,0.8,0.8,0.7,0.8,0.8,UI/UX
1.0,0.8,0.6,0.8,0.9,0.8,0.9,0.9,0.8,0.7,0.9,UI/UX
0.8,0.7,0.8,0.8,0.9,0.9,0.6,0.8,0.9,0.8,0.9,Business/Commerce/Ideation
0.8,0.7,0.9,1.0,0.8,0.7,1.0,0.7,0.6,0.8,0.7,Data Science
0.9,0.7,1.0,0.6,0.8,1.0,0.9,0.8,0.8,0.8,0.9,Operational
0.7,0.9,0.7,0.9,0.8,0.8,0.8,0.8,0.7,0.9,0.9,Entrepreneur
0.6,0.9,0.7,0.8,1.0,0.9,0.8,0.7,0.7,0.9,1.0,Business/Commerce/Ideation
0.6,0.7,0.7,0.7,0.6,1.0,0.8,0.7,0.8,0.8,0.8,Quality Assurance
0.7,0.7,0.8,0.8,0.8,0.6,1.0,0.8,0.6,0.9,1.0,Business/Commerce/Ideation
0.8,0.8,0.8,0.6,0.9,0.7,0.6,0.9,0.6,1.0,0.9,Business/Commerce/Ideation
0.9,0.9,0.7,0.9,1.0,1.0,1.0,0.7,0.9,0.8,1.0,Computer Network
0.6,0.9,0.9,0.9,0.9,0.7,0.8,1.0,0.7,0.8,1.0,Programming
0.8,0.9,0.7,1.0,1.0,0.7,1.0,0.7,0.7,0.9,0.6,Data Science
0.8,0.7,0.9,1.0,0.7,0.9,0.7,0.8,0.8,1.0,0.8,Data Science
0.9,0.8,1.0,0.8,0.7,1.0,0.7,1.0,0.6,1.0,0.6,Entrepreneur
0.8,0.9,0.7,0.7,0.8,0.9,1.0,0.6,1.0,0.7,0.9,Programming
1.0,0.7,0.8,0.9,0.6,0.9,0.6,1.0,0.7,0.7,0.6,Project Management
0.6,0.7,0.8,0.7,0.6,1.0,0.6,0.7,0.7,0.9,0.7,Quality Assurance
0.8,0.8,0.7,1.0,0.9,0.9,1.0,0.9,0.9,1.0,0.8,Computer Network
0.9,1.0,0.6,0.9,0.7,0.9,0.9,0.8,0.9,0.7,0.8,Programming
0.8,0.9,0.8,0.9,0.8,0.8,0.9,0.9,0.8,0.7,0.8,Programming
0.7,0.8,0.9,0.7,0.7,0.6,0.9,0.9,0.8,0.9,0.9,Entrepreneur
0.8,0.6,0.8,0.6,0.6,0.8,0.8,0.8,0.9,0.7,0.7,Product Manager
0.6,0.9,0.9,0.6,1.0,0.8,0.6,1.0,0.7,0.9,0.9,Cybersecurity
0.9,1.0,0.6,0.9,0.6,0.9,0.9,0.8,0.9,0.8,0.8,Programming
0.8,0.8,1.0,0.8,0.7,0.9,0.8,0.8,1.0,0.6,0.8,Product Manager
0.7,0.9,0.9,0.9,0.9,1.0,0.8,0.7,1.0,0.7,0.9,Quality Assurance
0.8,0.8,0.7,0.8,0.6,0.6,0.9,0.7,0.7,0.8,0.9,Computer Network
0.6,0.9,0.9,0.8,0.6,1.0,1.0,0.7,0.8,0.9,0.7,Quality Assurance
0.8,0.9,0.8,0.8,0.9,0.9,0.9,0.8,0.9,0.8,0.6,Cybersecurity
1.0,0.8,0.8,0.8,0.7,0.9,0.8,0.7,1.0,0.7,0.8,Product Manager
0.8,0.8,0.7,1.0,0.9,0.9,0.7,0.7,0.7,0.8,0.7,Data Science
0.9,0.8,0.8,0.9,1.0,1.0,0.9,0.8,0.8,0.9,0.7,Quality Assurance
0.8,0.8,0.7,0.6,0.9,0.7,0.9,0.9,0.8,0.9,0.7,Computer Network
0.8,0.7,0.8,0.7,0.7,0.9,0.6,0.7,0.8,0.8,0.8,Quality Assurance
0.9,0.9,0.9,0.7,0.8,1.0,1.0,0.6,0.7,0.7,0.9,Quality Assurance
0.9,0.8,0.8,0.6,0.9,0.8,0.9,0.7,0.8,0.9,0.7,Entrepreneur
